                 Mean      Median    St.Dev.   95%CI_low   95%CI_upp
psi[39, 4]  0.4376174  0.41680664 0.28317149  0.01617176  0.95709878
psi[40, 4]  0.4757003  0.46256767 0.28545461  0.02121799  0.97386905
psi[41, 4]  0.4747007  0.46048790 0.28823579  0.02610483  0.97260330
psi[42, 4]  0.4470006  0.41905306 0.28352526  0.01947486  0.96350628
psi[43, 4]  0.4685235  0.44908793 0.28401808  0.02033061  0.96789489
psi[44, 4]  0.4846220  0.47723325 0.28994409  0.01899670  0.97047944
psi[45, 4]  0.4606553  0.43842927 0.28881900  0.01898306  0.96740210
psi[46, 4]  0.4671514  0.44797294 0.28889733  0.01832873  0.97060433
psi[47, 4]  0.4545888  0.43521118 0.28472926  0.02155784  0.96539700
psi[48, 4]  0.6662428  0.70757541 0.23407064  0.16816124  0.98710189
psi[49, 4]  0.4644454  0.44770957 0.28830282  0.02093621  0.97006181
psi[50, 4]  0.6636642  0.69961908 0.23708586  0.15768047  0.98611456
psi[51, 4]  0.4670047  0.45124639 0.28596847  0.02424327  0.96943606
psi[52, 4]  0.4767720  0.46340435 0.28862837  0.02561688  0.97159967
psi[53, 4]  0.4597602  0.43621453 0.28466684  0.02066081  0.96648065
psi[54, 4]  0.6688408  0.70541175 0.23503106  0.16738033  0.99075458
psi[55, 4]  0.4622003  0.44554888 0.28306402  0.02560270  0.96236320
psi[56, 4]  0.6649341  0.70893078 0.23896362  0.14897209  0.98694787
psi[57, 4]  0.4587898  0.43144255 0.28516196  0.02275091  0.97387949
psi[58, 4]  0.4602483  0.43457760 0.28680620  0.01814292  0.96542435
psi[59, 4]  0.4746078  0.46139085 0.29008908  0.01925362  0.97177794
psi[60, 4]  0.6630148  0.70797178 0.24056649  0.14779599  0.98953035
psi[61, 4]  0.4931712  0.49341481 0.28803868  0.02186264  0.97893117
